Time, Ticker, latestPrice, latestVolume, Close, Open, low, high
18:10,YI,6.41,62437,7,6.86,6.3,6.86
18:10,PIH,5.3,3007,5.26,5.26,5.27,5.48
18:10,PIHPP,23.26,18,23.25,23.11,None,None
18:10,TURN,1.86,18076,1.86,1.87,1.86,1.88
18:10,FLWS,18.21,403947,18.21,18,17.89,18.26
18:10,BCOW,9.73,1151,9.88,9.74,9.7,9.73
18:10,YI,6.41,62437,7,6.86,6.3,6.86
18:10,PIH,5.3,3007,5.26,5.26,5.27,5.48
18:10,PIHPP,23.26,18,23.25,23.11,None,None
18:10,TURN,1.86,18076,1.86,1.87,1.86,1.88
18:10,FLWS,18.21,403947,18.21,18,17.89,18.26
18:11,YI,6.41,62437,7,6.86,6.3,6.86
18:11,PIH,5.3,3007,5.26,5.26,5.27,5.48
18:11,PIHPP,23.26,18,23.25,23.11,None,None
18:11,TURN,1.86,18076,1.86,1.87,1.86,1.88
18:11,FLWS,18.21,403947,18.21,18,17.89,18.26
18:11,BCOW,9.73,1151,9.88,9.74,9.7,9.73
18:11,FCCY,17.6,7299,17.6,17.24,17.34,17.63
18:11,SRCE,44.58,52090,44.58,44.2,43.42,44.75
18:11,VNET,7.91,398327,7.91,8.16,7.855,8.16
18:11,TWOU,68.13,624499,68.13,68.42,66.24,68.46
18:11,QFIN,15.565,33149,15.565,15.98,15.08,15.9
18:11,YI,6.41,62437,7,6.86,6.3,6.86
18:12,PIH,5.3,3007,5.26,5.26,5.27,5.48
18:12,PIHPP,23.26,18,23.25,23.11,None,None
18:12,TURN,1.86,18076,1.86,1.87,1.86,1.88
18:12,FLWS,18.21,403947,18.21,18,17.89,18.26
18:12,BCOW,9.73,1151,9.88,9.74,9.7,9.73
18:12,FCCY,17.6,7299,17.6,17.24,17.34,17.63
18:12,SRCE,44.58,52090,44.58,44.2,43.42,44.75
18:12,VNET,7.91,398327,7.91,8.16,7.855,8.16
18:12,TWOU,68.13,624499,68.13,68.42,66.24,68.46
18:12,YI,6.41,62437,7,6.86,6.3,6.86
18:12,PIH,5.3,3007,5.26,5.26,5.27,5.48
18:12,PIHPP,23.26,18,23.25,23.11,None,None
18:12,TURN,1.86,18076,1.86,1.87,1.86,1.88
18:12,FLWS,18.21,403947,18.21,18,17.89,18.26
18:12,BCOW,9.73,1151,9.88,9.74,9.7,9.73
18:12,FCCY,17.6,7299,17.6,17.24,17.34,17.63
18:12,SRCE,44.58,52090,44.58,44.2,43.42,44.75
18:12,VNET,7.91,398327,7.91,8.16,7.855,8.16
18:12,TWOU,68.13,624499,68.13,68.42,66.24,68.46
18:12,QFIN,15.565,33149,15.565,15.98,15.08,15.9
17:30,YI,6.41,62437,7,6.86,6.3,6.86
17:30,PIH,5.3,3007,5.26,5.26,5.27,5.48
17:30,PIHPP,23.26,18,23.25,23.11,None,None
17:30,TURN,1.86,18076,1.86,1.87,1.86,1.88
17:30,FLWS,18.21,403947,18.21,18,17.89,18.26
17:30,BCOW,9.73,1151,9.88,9.74,9.7,9.73
17:30,FCCY,17.6,7299,17.6,17.24,17.34,17.63
17:30,SRCE,44.58,52090,44.58,44.2,43.42,44.75
17:30,VNET,7.91,398327,7.91,8.16,7.855,8.16
17:31,TWOU,68.13,624499,68.13,68.42,66.24,68.46
17:31,QFIN,15.565,33149,15.565,15.98,15.08,15.9
17:31,TPNL,7.93,395967,7.93,7.83,7.75,8.09
11:09,YI,6.39,4725,6.41,6.46,6.35,6.667
11:09,PIH,5.287,411,5.37,5.26,5.287,5.287
11:09,PIHPP,23.25,18,23.26,23.11,None,None
11:09,TURN,1.879,12990,1.86,1.87,1.87,1.879
11:09,FLWS,18.145,61429,18.21,18.29,18.1,18.38
11:09,BCOW,9.73,1151,9.73,9.74,9.7,9.73
11:09,FCCY,18.15,771,17.6,17.75,17.89,18.2
11:09,SRCE,45.21,5737,44.58,44.5,44.5,45.08
11:09,VNET,7.765,36330,7.91,7.93,7.81,8.01
11:09,TWOU,69.935,189608,68.13,68.23,68.05,70.23
11:09,QFIN,15.432,7555,15.565,15.04,14.99,15.432
11:09,TPNL,7.89,79076,7.93,7.94,7.81,7.965
11:09,JOBS,74.49,104613,73.68,73.58,73.33,74.9
11:09,EGHT,20.05,143867,20.14,20.17,20.12,20.42
11:09,AAON,44.98,46402,44.93,45,44.67,45.32
11:09,ABEO,7.1,60806,7.17,7.18,7.01,7.27
